Detectado,Acuracia
banana, 0.9940
laptop, 0.9338
banana, 0.9940
laptop, 0.9353
banana, 0.9940
laptop, 0.9344
banana, 0.9940
laptop, 0.9339
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9341
banana, 0.9940
laptop, 0.9341
banana, 0.9940
laptop, 0.9336
banana, 0.9940
laptop, 0.9341
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9346
banana, 0.9940
laptop, 0.9346
banana, 0.9940
laptop, 0.9347
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9347
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9351
banana, 0.9940
laptop, 0.9353
banana, 0.9940
laptop, 0.9351
banana, 0.9940
laptop, 0.9349
banana, 0.9940
laptop, 0.9349
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9346
banana, 0.9940
laptop, 0.9336
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9341
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9336
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9351
banana, 0.9940
laptop, 0.9351
banana, 0.9940
laptop, 0.9344
banana, 0.9940
laptop, 0.9341
banana, 0.9940
laptop, 0.9341
banana, 0.9940
laptop, 0.9339
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9346
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9346
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9349
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9347
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9340
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9348
banana, 0.9940
laptop, 0.9351
banana, 0.9940
laptop, 0.9358
banana, 0.9940
laptop, 0.9358
banana, 0.9940
laptop, 0.9358
banana, 0.9940
laptop, 0.9357
banana, 0.9940
laptop, 0.9357
banana, 0.9940
laptop, 0.9358
banana, 0.9940
laptop, 0.9357
banana, 0.9940
laptop, 0.9358
banana, 0.9940
laptop, 0.9357
banana, 0.9940
laptop, 0.9357
banana, 0.9940
laptop, 0.9357
banana, 0.9940
laptop, 0.9351
banana, 0.9940
laptop, 0.9358
